sample_id,fold,split,multimodal_label
video_1_1,4,train,4
video_1_2,4,train,5
video_1_3,4,train,4
video_1_4,4,train,4
video_1_5,4,train,5
video_1_6,4,train,4
video_1_15,4,train,5
video_1_16,4,train,5
video_1_17,4,train,3
video_1_19,4,train,3
video_1_20,4,train,3
video_1_21,4,train,3
video_1_23,4,train,4
video_1_26,4,train,4
video_1_27,4,train,3
video_1_28,4,train,3
video_1_29,4,train,3
video_2_1,4,train,4
video_2_2,4,train,5
video_2_4,4,train,4
video_2_5,4,train,5
video_2_6,4,train,5
video_2_8,4,train,4
video_2_9,4,train,4
video_2_10,4,train,4
video_2_11,4,train,5
video_2_12,4,train,5
video_2_13,4,train,4
video_2_14,4,train,5
video_2_17,4,train,5
video_2_18,4,train,2
video_2_19,4,train,2
video_2_21,4,train,3
video_2_23,4,train,4
video_2_24,4,train,3
video_2_25,4,train,3
video_2_26,4,train,4
video_2_27,4,train,4
video_2_28,4,train,3
video_2_29,4,train,4
video_2_30,4,train,2
video_2_31,4,train,2
video_2_34,4,train,3
video_2_35,4,train,4
video_2_36,4,train,3
video_2_37,4,train,3
video_2_38,4,train,3
video_2_40,4,train,3
video_2_43,4,train,3
video_2_44,4,train,1
video_2_45,4,train,2
video_3_3,4,train,2
video_3_4,4,train,2
video_3_5,4,train,1
video_3_6,4,train,1
video_3_8,4,train,2
video_3_9,4,train,3
video_3_10,4,train,3
video_3_12,4,train,3
video_3_13,4,train,3
video_3_14,4,train,2
video_3_17,4,train,2
video_3_18,4,train,3
video_3_20,4,train,1
video_3_24,4,train,1
video_3_26,4,train,1
video_3_29,4,train,1
video_3_30,4,train,1
video_3_31,4,train,2
video_3_32,4,train,1
video_3_33,4,train,2
video_3_35,4,train,2
video_3_36,4,train,2
video_3_37,4,train,2
video_3_39,4,train,3
video_3_40,4,train,3
video_3_42,4,train,2
video_3_43,4,train,2
video_3_44,4,train,2
video_3_45,4,train,3
video_3_46,4,train,4
video_3_47,4,train,4
video_3_49,4,train,5
video_3_51,4,train,5
video_3_53,4,train,5
video_3_54,4,train,4
video_3_56,4,train,1
video_3_57,4,train,2
video_3_59,4,train,2
video_3_60,4,train,2
video_3_61,4,train,1
video_3_62,4,train,2
video_3_64,4,train,1
video_3_65,4,train,3
video_3_67,4,train,1
video_3_69,4,train,2
video_3_71,4,train,1
video_3_72,4,train,2
video_3_75,4,train,2
video_3_76,4,train,2
video_3_77,4,train,2
video_3_78,4,train,1
video_3_79,4,train,1
video_3_80,4,train,2
video_3_81,4,train,1
video_3_83,4,train,2
video_3_84,4,train,2
video_3_85,4,train,2
video_3_86,4,train,2
video_3_87,4,train,2
video_3_88,4,train,1
video_3_89,4,train,2
video_3_91,4,train,1
video_3_94,4,train,1
video_3_95,4,train,2
video_3_102,4,train,2
video_3_103,4,train,2
video_3_104,4,train,4
video_3_105,4,train,4
video_4_1,4,train,2
video_4_2,4,train,1
video_4_3,4,train,2
video_4_6,4,train,2
video_4_8,4,train,5
video_4_9,4,train,4
video_4_12,4,train,4
video_4_13,4,train,4
video_4_14,4,train,2
video_4_16,4,train,2
video_4_18,4,train,3
video_4_19,4,train,3
video_4_20,4,train,2
video_4_21,4,train,2
video_4_22,4,train,4
video_4_23,4,train,4
video_4_26,4,train,4
video_4_28,4,train,5
video_4_29,4,train,5
video_4_30,4,train,5
video_4_31,4,train,4
video_4_32,4,train,1
video_4_33,4,train,1
video_4_34,4,train,2
video_4_36,4,train,1
video_4_37,4,train,1
video_4_38,4,train,1
video_4_41,4,train,1
video_4_42,4,train,1
video_4_45,4,train,1
video_4_47,4,train,1
video_4_49,4,train,4
video_4_54,4,train,4
video_4_55,4,train,5
video_4_56,4,train,3
video_4_57,4,train,3
video_4_59,4,train,3
video_4_60,4,train,4
video_5_1,4,train,3
video_5_2,4,train,2
video_5_4,4,train,2
video_5_6,4,train,5
video_5_7,4,train,5
video_5_8,4,train,5
video_5_10,4,train,5
video_5_12,4,train,4
video_5_15,4,train,5
video_5_16,4,train,4
video_5_17,4,train,4
video_5_19,4,train,4
video_6_1,4,train,3
video_6_2,4,train,4
video_6_3,4,train,4
video_6_4,4,train,3
video_6_5,4,train,3
video_6_6,4,train,3
video_6_7,4,train,3
video_6_8,4,train,3
video_6_9,4,train,3
video_6_12,4,train,3
video_6_13,4,train,3
video_6_15,4,train,3
video_6_16,4,train,3
video_6_17,4,train,3
video_6_18,4,train,3
video_6_20,4,train,4
video_6_22,4,train,3
video_6_24,4,train,4
video_6_25,4,train,3
video_6_27,4,train,4
video_6_28,4,train,3
video_6_29,4,train,3
video_6_32,4,train,3
video_6_34,4,train,4
video_6_35,4,train,3
video_6_36,4,train,3
video_6_38,4,train,4
video_6_39,4,train,4
video_6_40,4,train,4
video_6_41,4,train,4
video_6_42,4,train,4
video_6_43,4,train,4
video_6_44,4,train,4
video_6_46,4,train,4
video_6_47,4,train,4
video_6_48,4,train,5
video_6_49,4,train,3
video_6_50,4,train,4
video_6_51,4,train,4
video_6_53,4,train,3
video_6_55,4,train,3
video_6_56,4,train,4
video_6_57,4,train,3
video_6_58,4,train,2
video_6_61,4,train,4
video_6_62,4,train,4
video_6_63,4,train,4
video_7_1,4,train,4
video_7_3,4,train,2
video_7_4,4,train,2
video_7_5,4,train,2
video_7_6,4,train,3
video_7_7,4,train,2
video_7_8,4,train,2
video_7_9,4,train,2
video_7_11,4,train,2
video_7_12,4,train,2
video_7_14,4,train,1
video_7_15,4,train,2
video_7_16,4,train,2
video_7_17,4,train,2
video_7_18,4,train,2
video_7_20,4,train,4
video_7_22,4,train,2
video_7_25,4,train,4
video_7_26,4,train,1
video_7_28,4,train,2
video_7_29,4,train,3
video_7_30,4,train,3
video_7_31,4,train,4
video_7_34,4,train,4
video_7_35,4,train,2
video_7_36,4,train,4
video_7_37,4,train,3
video_7_38,4,train,4
video_7_40,4,train,1
video_7_44,4,train,2
video_8_2,4,train,4
video_8_3,4,train,2
video_8_4,4,train,2
video_8_5,4,train,2
video_8_6,4,train,4
video_8_7,4,train,1
video_8_8,4,train,2
video_8_9,4,train,2
video_8_11,4,train,1
video_8_12,4,train,2
video_8_13,4,train,4
video_8_14,4,train,2
video_8_15,4,train,2
video_8_17,4,train,2
video_8_18,4,train,2
video_8_20,4,train,4
video_8_21,4,train,4
video_9_4,4,train,2
video_9_5,4,train,1
video_9_6,4,train,4
video_9_7,4,train,2
video_9_8,4,train,1
video_9_9,4,train,2
video_9_11,4,train,4
video_9_13,4,train,4
video_9_15,4,train,3
video_9_16,4,train,4
video_9_18,4,train,3
video_9_19,4,train,3
video_9_20,4,train,2
video_9_24,4,train,2
video_9_26,4,train,4
video_9_27,4,train,2
video_9_29,4,train,2
video_9_31,4,train,1
video_9_33,4,train,2
video_10_2,4,train,2
video_10_5,4,train,4
video_10_6,4,train,5
video_10_7,4,train,2
video_10_8,4,train,2
video_10_11,4,train,2
video_10_12,4,train,4
video_10_13,4,train,2
video_10_14,4,train,2
video_10_16,4,train,1
video_10_17,4,train,2
video_10_19,4,train,5
video_11_1,4,train,5
video_11_2,4,train,5
video_11_3,4,train,5
video_11_4,4,train,5
video_11_5,4,train,3
video_11_6,4,train,3
video_11_7,4,train,2
video_11_9,4,train,2
video_11_11,4,train,2
video_11_12,4,train,2
video_11_14,4,train,2
video_11_16,4,train,1
video_11_17,4,train,1
video_11_19,4,train,1
video_11_20,4,train,4
video_11_21,4,train,2
video_11_22,4,train,5
video_11_25,4,train,3
video_11_27,4,train,1
video_11_29,4,train,1
video_11_30,4,train,2
video_11_31,4,train,2
video_11_33,4,train,3
video_11_34,4,train,3
video_11_35,4,train,4
video_12_2,4,train,3
video_12_5,4,train,1
video_12_7,4,train,4
video_12_8,4,train,4
video_12_9,4,train,4
video_12_12,4,train,1
video_12_15,4,train,2
video_12_16,4,train,2
video_12_17,4,train,4
video_12_18,4,train,2
video_12_19,4,train,1
video_12_20,4,train,1
video_12_22,4,train,1
video_12_23,4,train,2
video_12_24,4,train,2
video_12_25,4,train,2
video_12_26,4,train,2
video_13_1,4,train,2
video_13_4,4,train,4
video_13_5,4,train,1
video_13_6,4,train,2
video_13_8,4,train,5
video_13_9,4,train,2
video_13_10,4,train,4
video_13_11,4,train,1
